Posizione,Nome,Score
1,Giovanni_Simeone,82.05
2,Filippo_Romagna,77.80
3,Kenan_Yıldız,75.25
4,Lukasz_Skorupski,74.40
5,Fikayo_Tomori,74.40
6,Mateusz_Kowalski,74.40
7,Gabriel_Charpentier,73.55
8,Ivan_Ilić,73.55
9,Elseid_Hysaj,72.70
10,Nícolas,72.70
11,Tommaso_Martinelli,72.70
12,Ruben_Loftus-Cheek,71.00
13,Daniele_Padelli,71.00
14,Arkadiusz_Milik,71.00
15,Mattia_Perin,69.30
16,Dušan_Vlahović,69.30
17,Cristo_Muñoz,68.45
18,Ibrahim_Sulemana,68.45
19,Milan_Djuric,67.60
20,Alexander_Lind,66.75
21,Bremer,66.75
22,Adam_Obert,66.75
23,Douglas_Luiz,66.33
24,Tommaso_Barbieri,65.90
25,Simon_Sohm,65.05
26,Marc_Oliver_Kempf,65.05
27,Aarón_Martín,64.20
28,Leonardo_Pavoletti,64.20
29,Balthazar_Pierret,64.20
30,Maxence_Caqueret,64.20
31,Franco_Vázquez,64.20
32,Charles_Pickel,64.20
33,Thórir_Jóhann_Helgason,64.20
34,Malick_Thiaw,64.20
35,Niccolò_Pisilli,62.93
36,Nahuel_Estévez,62.50
37,Naj_Razi,62.50
38,Juan_Jesus,62.50
39,Santiago_Castro,61.65
40,Timothy_Weah,61.65
41,Federico_Magro,61.65
42,Hamza_Rafia,60.80
43,Alessio_Furlanetto,60.80
44,Josh_Doig,60.80
45,Alieu_Njie,59.95
46,Domenico_Berardi,59.95
47,Luca_Moro,59.95
48,Mehdi_Léris,59.95
49,Paulo_Azzi,59.95
50,Mathías_Olivera,59.95
51,Idrissa_Touré,59.95
52,Mateo_Pellegrino,59.52
53,Lassana_Coulibaly,59.52
54,Marcus_Thuram,59.10
55,Junior_Messias,59.10
56,Raffaele_Di_Gennaro,59.10
57,Mario_Gila,59.10
58,Vitinha,59.10
59,Rolando_Mandragora,59.10
60,Christian_Kabasele,59.10
61,Paulo_Dybala,58.68
62,Toma_Bašić,58.25
63,Lautaro_Giannetti,58.25
64,Federico_Ceccherini,58.25
65,Hernani,58.25
66,Matteo_Darmian,58.25
67,Oumar_Solet,58.25
68,Pasquale_Mazzocchi,57.40
69,Patrick_Cutrone,57.40
70,Maissa_Ndiaye,57.40
71,Vasilije_Adžić,57.40
72,Daniel_Mosquera,57.40
73,Cesare_Casadei,57.40
74,Marco_Palestra,57.40
75,Matías_Soulé,56.98
76,Isak_Hien,56.55
77,Filippo_Missori,56.55
78,Medon_Berisha,56.55
79,Billy_Gilmour,56.55
80,Pietro_Comuzzo,56.55
81,Giuseppe_Ciocci,56.55
82,Pablo_Marí,56.55
83,Samuele_Mulattieri,56.55
84,Benjamin_Pavard,56.12
85,Sandi_Lovrić,55.70
86,Adrian_Semper,55.70
87,Răzvan_Sava,55.70
88,Ademola_Lookman,55.70
89,Nicolò_Barella,55.70
90,Davide_Frattesi,55.70
91,Stefan_de_Vrij,55.70
92,Juan_Miranda,55.27
93,Dodô,54.85
94,Warren_Bondo,54.85
95,Alberto_Dossena,54.85
96,Mike_Maignan,54.85
97,Alessandro_Gabrielloni,54.85
98,Valentino_Lazaro,54.85
99,Adrien_Tamèze,54.85
100,Yeferson_Paz,54.67
101,Álex_Jiménez,54.43
102,Antonio_Donnarumma,54.00
103,Romelu_Lukaku,54.00
104,Taty_Castellanos,54.00
105,Nicola_Leali,54.00
106,Johan_Vásquez,54.00
107,Adam_Masina,54.00
108,Luca_Lipani,54.00
109,Devyne_Rensch,54.00
110,Mario_Pasalić,54.00
111,Francesco_Folino,53.58
112,Gianluca_Saro,53.58
113,Jackson_Tchatchoua,53.15
114,Lautaro_Martínez,53.15
115,Alessandro_Bastoni,53.15
116,Edoardo_Pieragnolo,53.15
117,Lucas_Beltrán,53.15
118,Martin_Frese,53.15
119,Kingsley_Ehizibue,53.15
120,Gianluca_Mancini,53.15
121,Mattia_Valoti,53.15
122,Armand_Laurienté,53.15
123,Gvidas_Gineitis,53.15
124,Brooke_Norton-Cuffy,53.15
125,Weston_McKennie,53.15
126,Daniel_Boloca,52.30
127,Marin_Pongracic,52.30
128,Alessandro_Arena,52.30
129,Henrikh_Mkhitaryan,52.30
130,Matteo_Tramoni,52.30
131,Mauro_Vigorito,52.30
132,Hugo_Cuenca,52.30
133,Mathis_Lambourde,52.30
134,Manuel_De_Luca,52.30
135,Antonio_Sanabria,51.45
136,Éderson,51.45
137,Dennis_Johnsen,51.45
138,David_Neres,51.45
139,Moise_Kean,51.45
140,Brenner,51.45
141,Anas_Haj_Mohamed,51.45
142,Tommaso_Baldanzi,51.45
143,Stefano_Sabelli,51.45
144,Filippo_Terracciano,51.45
145,Danilo_Veiga,51.45
146,Lorenzo_Torriani,51.45
147,Gabriele_Zappa,51.45
148,Riccardo_Orsolini,51.45
149,Marco_Carnesecchi,51.45
150,Antoine_Hainaut,51.45
151,Federico_Ravaglia,51.45
152,Luca_Ravanelli,51.45
153,Luis_Hasa,51.45
154,Jacob_Ondrejka,51.45
155,Botond_Balogh,51.45
156,Benja_Domínguez,51.45
157,Tomas_Suslov,51.45
158,Zanos_Savva,51.02
159,Francesco_Rossi,51.02
160,Samuele_Angori,50.60
161,Jesper_Karlström,50.60
162,Matteo_Palma,50.60
163,Santiago_Pierotti,50.60
164,Cas_Odenthal,50.60
165,Edoardo_Corvi,50.60
166,Simone_Pafundi,50.60
167,Nikita_Contini,50.60
168,Samuel_Chukwueze,50.60
169,Alex_Meret,50.60
170,Yunus_Musah,50.60
171,Emil_Holm,49.75
172,Giovanni_Leoni,49.75
173,Giorgio_Scalvini,49.75
174,Martin_Erlić,49.75
175,Zito_Luvumbo,49.75
176,Thijs_Dallinga,49.75
177,Mattéo_Guendouzi,49.75
178,Pontus_Almqvist,49.75
179,Enrico_Delprato,49.75
180,Berat_Djimsiti,49.75
181,Alexis_Sánchez,49.75
182,Koni_De_Winter,49.75
